genres,avg_rating,game_count
Massively Multiplayer,4.246315789473685,19
RPG,4.232241887905605,339
Shooter,4.229927536231884,138
Action,4.2191492776886035,623
Adventure,4.214695945945945,592
Platformer,4.206,80
Puzzle,4.200088495575222,113
Arcade,4.186470588235294,51
Strategy,4.181363636363637,220
Indie,4.180784708249496,497
Simulation,4.178086419753087,162
Casual,4.174923076923077,195
Card,4.17,11
Educational,4.1626666666666665,15
Racing,4.159705882352942,34
Board Games,4.153333333333333,3
Sports,4.136956521739131,23
Family,4.12578947368421,19
Fighting,4.09,23
