genre,rating
Board Games,4.264
Massively Multiplayer,4.248695652173913
RPG,4.235353535353536
Shooter,4.227103448275861
Action,4.2203278688524595
Adventure,4.215114401076716
Puzzle,4.205294117647059
Sports,4.201714285714286
Platformer,4.200705882352941
Simulation,4.198482142857143
Casual,4.195153583617747
Indie,4.194577777777778
Arcade,4.192241379310345
Strategy,4.189126984126984
Educational,4.182
Card,4.180833333333333
Racing,4.167142857142857
Family,4.125500000000001
Fighting,4.122083333333333
